Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link72,0.00059274,-6.0994E-05,-0.011303,0,0,0,0.00096478,6.7384E-08,1.719E-11,3.2033E-09,6.722E-08,-3.2784E-10,6.4698E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link72.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link72.STL,,07-1,坐标系73,基准轴73,joint712,prismatic,0.0037717,-0.00038812,-0.07192,0,0,0,Link71,0.05237,-0.005389,-0.99861,0,0,0,0,,,,,,,,
Link73,0.0038023,-0.0094406,-0.015218,0,0,0,0.0090332,1.7667E-06,1.6357E-08,4.9311E-08,1.7247E-06,-3.1204E-07,8.28E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link73.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link73.STL,,30-11;10-1,坐标系74,基准轴74,joint723,revolute,-0.0014405,-0.00016005,-0.029816,0,0,0,Link72,-0.99863,0,-0.05237,0,0,0,0,,,,,,,,
Link74,0.0052769,-0.01121,-0.02043,0,0,0,0.014495,2.7871E-06,5.1066E-08,6.7946E-08,1.9912E-06,-9.7258E-07,1.495E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link74.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link74.STL,,15-1,坐标系75,基准轴75,joint734,revolute,0.00069906,-0.020824,-0.036228,0,0,0,Link73,0.99863,0,0.05237,0,0,0,0,,,,,,,,
Link731,0.012692,-0.0029841,0.0028001,0,0,0,0.0090332,8.2542E-07,3.1247E-07,5.0086E-11,1.7247E-06,-6.7758E-12,1.7692E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link731.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link731.STL,,30-11;10-1,坐标系76,基准轴66,joint703,revolute,0.010242,-0.00015498,-0.14584,0,1.5184,0,base_link,0.05237,0,0.99863,0,0,0,0,,,,,,,,
Link75,0.0032212,7.3093E-05,-0.018461,0,0,0,0.00069948,1.2063E-07,-4.8676E-11,6.1904E-09,1.2113E-07,9.2819E-10,2.9152E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link75.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link75.STL,,29-7,坐标系77,基准轴78,joint705,revolute,0.010545,-0.0067159,-0.14112,0,0,0,base_link,0.99863,0,0.05237,0,0,0,0,,,,,,,,
Link741,-0.02239,-0.019024,-0.0041998,0,0,0,0.014495,1.4914E-06,-9.7392E-07,-3.6846E-13,1.9912E-06,-6.1105E-11,2.7906E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link741.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link741.STL,,15-1,坐标系78,基准轴78,joint754,revolute,-3.5806E-05,0,-0.036552,-3.1416,-1.5184,3.1416,Link75,0,0,-1,0,0,0,0,,,,,,,,
Link81,0.0039155,0.0011531,-0.037253,0,0,0,0.010228,4.4608E-06,-6.44E-09,4.3977E-07,4.4551E-06,6.1335E-08,3.2294E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link81.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link81.STL,,04-1,坐标系82,基准轴82,joint801,revolute,0.024584,0.0068497,-0.040053,0,0,0,base_link,0.99452,0,0.10453,0,0,0,0,,,,,,,,
Link82,0.0011831,-5.1734E-05,-0.011256,0,0,0,0.00096478,6.6883E-08,2.9102E-11,6.3674E-09,6.722E-08,-2.7692E-10,6.9705E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link82.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link82.STL,,08-1,坐标系83,基准轴83,joint812,prismatic,0.0075062,-0.00032824,-0.071417,0,0,0,Link81,0.10453,-0.0045708,-0.99451,0,0,0,0,,,,,,,,
Link83,0.0045388,-0.010579,-0.01449,0,0,0,0.0090332,1.7596E-06,4.0057E-08,9.1983E-08,1.6662E-06,-3.8124E-07,8.936E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link83.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link83.STL,,12-1;30-12,坐标系84,基准轴84,joint823,revolute,0.0001209,-0.00013575,-0.029851,0,0,0,Link82,-0.99452,0,-0.10453,0,0,0,0,,,,,,,,
Link84,0.0061306,-0.014278,-0.018151,0,0,0,0.014495,2.7798E-06,1.0497E-07,1.0281E-07,1.6811E-06,-9.9816E-07,1.8124E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link84.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link84.STL,,16-1,坐标系85,基准轴85,joint834,revolute,0.0024318,-0.023668,-0.034617,0,0,0,Link83,0.99452,0,0.10453,0,0,0,0,,,,,,,,
Link831,0.012392,-0.0040382,0.0027993,0,0,0,0.0090332,8.8394E-07,3.8334E-07,5.0677E-11,1.6662E-06,-1.2398E-11,1.7692E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link831.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link831.STL,,12-1;30-12,坐标系86,基准轴86,joint803,revolute,0.032671,-0.00015498,-0.14378,0,1.4661,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link85,0.00040789,0.0043672,-0.042773,0,0,0,0.091809,5.4116E-05,4.0634E-07,-1.041E-06,0.00010076,-4.6185E-07,9.0663E-05,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link85.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link85.STL,,29-8,坐标系87,基准轴87,joint805,revolute,0.032726,-0.0067159,-0.13905,0,0,0,base_link,0.99452,0,0.10453,0,0,0,0,,,,,,,,
Link841,-0.019172,-0.022263,-0.0041998,0,0,0,0.014495,1.8016E-06,-1.0037E-06,8.7514E-12,1.6811E-06,-6.0272E-11,2.7906E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link841.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link841.STL,,16-1,坐标系88,基准轴88,joint854,revolute,0.0018664,-0.0025804,-0.036413,-3.1416,-1.4661,3.1416,Link85,0,0,-1,0,0,0,0,,,,,,,,
